"","V1","V2","V3"
"1",0.012121,0.200000,223
"2",0.042424,0.304348,347
"3",0.024242,0.250000,362
"4",0.006061,0.125000,98
"5",0.109091,0.327273,589
"6",0.018182,0.230769,259
"7",0.024242,0.250000,295
"8",0.006061,0.125000,246
"9",0.048485,0.275862,426
"10",0.012121,0.181818,162
"11",0.006061,0.125000,71
"12",0.018182,0.230769,127
"13",0.006061,0.125000,120
"14",0.006061,0.111111,230
"15",0.012121,0.181818,533
"16",0.018182,0.230769,384
"17",0.006061,0.111111,187
"18",0.006061,0.125000,79
"19",0.012121,0.181818,250
"20",0.006061,0.125000,135
"21",0.018182,0.230769,356
"22",0.012121,0.200000,190
"23",0.006061,0.125000,262
"24",0.012121,0.181818,272
"25",0.036364,0.285714,305
"26",0.024242,0.250000,152
"27",0.006061,0.111111,134
"28",0.006061,0.125000,185
"29",0.006061,0.111111,128
"30",0.054545,0.300000,266
"31",0.012121,0.200000,278
"32",0.006061,0.111111,274
"33",0.006061,0.125000,139
"34",0.006061,0.111111,86
"35",0.006061,0.125000,156
"36",0.006061,0.111111,71
"37",0.030303,0.263158,580
"38",0.030303,0.312500,270
"39",0.018182,0.200000,617
"40",0.012121,0.181818,154
"41",0.024242,0.250000,643
"42",0.012121,0.181818,238
"43",0.012121,0.200000,470
"44",0.066667,0.333333,535
"45",0.024242,0.250000,248
"46",0.042424,0.269231,564
"47",0.018182,0.214286,237
"48",0.006061,0.125000,312
"49",0.048485,0.307692,625
"50",0.012121,0.181818,352
"51",0.024242,0.235294,280
"52",0.006061,0.111111,55
"53",0.066667,0.354839,333
"54",0.006061,0.125000,187
"55",0.012121,0.200000,226
"56",0.030303,0.250000,362
"57",0.012121,0.166667,344
"58",0.012121,0.200000,395
"59",0.006061,0.111111,35
"60",0.006061,0.125000,28
"61",0.012121,0.181818,182
"62",0.006061,0.125000,75
"63",0.018182,0.230769,361
"64",0.018182,0.214286,413
"65",0.006061,0.111111,123
"66",0.006061,0.111111,4
"67",0.006061,0.111111,177
"68",0.036364,0.272727,259
"69",0.066667,0.333333,572
"70",0.012121,0.181818,164
"71",0.012121,0.200000,226
"72",0.012121,0.181818,163
"73",0.018182,0.214286,225
"74",0.006061,0.111111,208
"75",0.018182,0.200000,400
"76",0.096970,0.307692,483
"77",0.006061,0.125000,184
"78",0.006061,0.125000,97
"79",0.036364,0.285714,194
"80",0.006061,0.111111,135
"81",0.012121,0.181818,189
"82",0.012121,0.181818,180
"83",0.012121,0.181818,328
"84",0.006061,0.125000,127
"85",0.006061,0.111111,218
"86",0.006061,0.111111,107
"87",0.012121,0.181818,120
"88",0.042424,0.280000,374
"89",0.012121,0.181818,404
"90",0.012121,0.200000,128
"91",0.006061,0.111111,4
"92",0.018182,0.214286,473
"93",0.006061,0.125000,4
"94",0.018182,0.230769,179
"95",0.060606,0.322581,649
"96",0.006061,0.111111,279
"97",0.006061,0.111111,103
"98",0.006061,0.111111,66
"99",0.006061,0.125000,220
"100",0.012121,0.166667,175
"101",0.024242,0.250000,330
"102",0.006061,0.111111,4
"103",0.006061,0.125000,32
"104",0.036364,0.333333,682
"105",0.024242,0.250000,351
"106",0.018182,0.214286,309
"107",0.036364,0.300000,431
"108",0.006061,0.125000,53
"109",0.006061,0.125000,72
"110",0.012121,0.166667,4
"111",0.006061,0.125000,235
"112",0.006061,0.125000,91
"113",0.006061,0.125000,22
"114",0.006061,0.111111,227
"115",0.006061,0.125000,182
"116",0.012121,0.166667,194
"117",0.006061,0.125000,254
